time;path1_program_status;path1_program;path1_machine_function;path1_execution;x1_motor_power;x1_motor_torque;x1_pos_act;y1_motor_power;y1_motor_torque;y1_pos_act;z1_motor_power;z1_motor_torque;z1_pos_act
12:37:59;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:38:07;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:38:15;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:38:23;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:38:31;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:38:38;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:38:46;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:38:55;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:39:03;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:39:11;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:39:19;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:39:27;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:39:35;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:39:43;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.5626;0
12:39:50;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.6647;0
12:39:58;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.6647;0
12:40:06;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.6647;0
12:40:14;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-4.5678;200;0;0.4634;0;1.9;-0.6647;0
12:40:22;STOPPED;_N_CZ57464_AB_MPF;NONE;PROGRAM_STOPPED;56.263;-0.0061;200;0;0.0045;0;1.9;-0.0494;0
12:40:30;STOPPED;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-0.0061;200;0;0.0045;0;1.9;-0.0494;0
12:40:38;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-4.8043;200;2342.323;9.6939;0;1.9;-0.5657;0
12:40:46;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-4.9118;200;0;0.3879;75;1.9;-0.1243;0
12:40:53;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-4.9118;200;0;0.2787;75;1.9;-0.2439;0
12:41:01;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-3.6729;38.397;0;0.6185;0;1.9;1.5767;32.75406
12:41:09;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-3.4495;34.551;0;0.3322;0;1.9;1.1255;32.46566
12:41:18;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-3.7555;30.706;0;0.6217;0;1.9;1.3034;36.80053
12:41:25;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-3.9348;26.86;0;0.4721;0;1.9;1.1421;36.21542
12:41:33;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-3.8066;21.091;0;0.4491;0;1.91;1.2978;36.18538
12:41:41;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;56.263;-3.8483;17.246;0;0.3858;0;1.91;1.3422;32.3603
12:41:49;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;FEED_HOLD;56.263;-5.2837;32.16649;0;-0.0895;0;1.91;0.6086;32.00837
12:41:57;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;0.037;-4.9026;484.89734;0;-0.021;-99.9;0.001;-0.3942;-5.33266
12:42:05;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;0.037;-5.305;378.6877;0;-0.0416;-87.05992;0.002;0.7078;-270.56864
12:42:13;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;0.037;-4.0005;732.224;0;-0.2612;-87.05992;0;-0.4376;-5.35471
12:42:21;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;0.037;-4.1483;419.1535;0;0.2658;-93.244;0;0.0036;299.4323
12:42:28;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;0.037;-4.4963;419.1535;0;0.5913;-93.244;913.085;4.8803;927.7971
12:42:36;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;-0.008;-3.8978;20;0;-0.0588;0;-0.015;0.9693;32.51904
12:42:44;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;-0.008;-4.4282;20;0;1.2608;0;-0.015;1.3614;2.13916
12:42:52;IN_PROGRESS;_N_CZ57464_AB_MPF;NONE;ACTIVE;-0.008;-4.1735;20;0;0.2394;0;-0.015;0.1012;34.985
